image_id,ar,num_input_candidates,num_valid_candidates,num_effective_candidates,num_cheap_kept,num_expensive_eval,selected_k,decision_type,delta_improve
sstk_image_2204061383,1:1,116,116,116,30,30,5,crop,1.5735758477470783
sstk_image_2204061383,9:16,134,134,134,30,30,5,minimal_crop,0.007817955158917478
sstk_image_2204061383,16:9,59,59,59,30,30,5,crop,2.79521667922036
sstk_image_2204061383,3:4,137,137,137,30,30,5,crop,1.0582307240272009
sstk_image_2204061383,4:3,65,65,65,30,30,5,crop,2.087387591801942
sstk_image_281160758,1:1,178,178,178,30,30,5,minimal_crop,0.01739102503020118
sstk_image_281160758,9:16,87,87,87,30,30,5,crop,0.06799287342488836
sstk_image_281160758,16:9,115,115,115,30,30,5,crop,5.889312826553509
sstk_image_281160758,3:4,117,117,117,30,30,5,minimal_crop,0.0
sstk_image_281160758,4:3,134,134,134,30,30,5,crop,2.3350824815528033
sstk_image_1934214512,1:1,114,114,114,30,30,5,minimal_crop,0.0068645788368710825
sstk_image_1934214512,9:16,72,72,72,30,30,5,crop,1.2424302918474366
sstk_image_1934214512,16:9,131,131,131,31,31,5,crop,1.6407811361672748
sstk_image_1934214512,3:4,86,86,86,31,31,5,crop,1.3417330447535007
sstk_image_1934214512,4:3,174,174,174,31,31,5,minimal_crop,0.0
sstk_image_2152862981,1:1,131,131,131,31,31,5,minimal_crop,0.00858739554685517
sstk_image_2152862981,9:16,74,74,74,30,30,5,minimal_crop,0.005454012751579418
sstk_image_2152862981,16:9,141,141,141,30,30,5,minimal_crop,0.006442707282479754
sstk_image_2152862981,3:4,77,77,77,30,30,5,minimal_crop,0.0
sstk_image_2152862981,4:3,166,166,166,31,31,5,minimal_crop,0.0
bigstock_image_77457116,1:1,115,115,115,30,30,5,crop,0.5665495507488112
bigstock_image_77457116,9:16,53,53,53,30,30,5,crop,1.0070629460836233
bigstock_image_77457116,16:9,167,167,167,30,30,5,minimal_crop,0.002172622084617659
bigstock_image_77457116,3:4,58,58,58,30,30,5,crop,0.7550423036110949
bigstock_image_77457116,4:3,146,146,146,30,30,5,crop,0.42486172920250764
bigstock_image_160863842,1:1,132,35,35,30,30,5,crop,0.1154362483936553
bigstock_image_160863842,9:16,70,0,70,31,31,5,minimal_crop,0.0
bigstock_image_160863842,16:9,152,14,14,14,14,5,minimal_crop,0.0
bigstock_image_160863842,3:4,71,2,2,2,2,2,minimal_crop,0.0
bigstock_image_160863842,4:3,185,64,64,30,30,5,minimal_crop,0.010547307133674577
sstk_image_1265101195,1:1,154,153,153,30,30,5,minimal_crop,0.021362416057122635
sstk_image_1265101195,9:16,71,71,71,30,30,5,crop,1.9464616628442237
sstk_image_1265101195,16:9,105,105,105,30,30,5,crop,3.5721898567969834
