image_id,target_ar,selected_k,top1_final,mean_final
bigstock_image_170252891,3:4,5,1.016762,0.9292688
bigstock_image_170252891,4:3,5,1.014613,0.8942492
bigstock_image_170252891,9:16,5,0.942525,0.893245
bigstock_image_172586006,16:9,1,-3.937937,-3.937937
bigstock_image_172586006,1:1,5,-1.963028,-3.5834892
bigstock_image_172586006,3:4,3,-7.777681,-8.381547
bigstock_image_172586006,4:3,5,-1.306772,-1.90797
bigstock_image_172586006,9:16,5,-15.217776,-19.178998
bigstock_image_179956204,16:9,5,1.086878,1.0792502
bigstock_image_179956204,1:1,5,-0.416687,-2.67333
bigstock_image_179956204,3:4,5,-2.9469,-5.53674
bigstock_image_179956204,4:3,5,1.08348,0.7073916
bigstock_image_179956204,9:16,5,-6.51137,-9.9350494
bigstock_image_180474223,16:9,5,1.062385,1.018201
bigstock_image_180474223,1:1,5,1.03451,-1.5796118
bigstock_image_180474223,3:4,5,-2.112178,-4.680396
bigstock_image_180474223,4:3,5,1.064424,0.23695260000000004
bigstock_image_180474223,9:16,5,-5.428778,-8.5968508
bigstock_image_180909778,16:9,5,-0.846705,-7.4767098
bigstock_image_180909778,1:1,5,-2.419981,-7.817399999999999
bigstock_image_180909778,3:4,5,-5.833167,-9.442638800000001
bigstock_image_180909778,4:3,5,-0.837183,-4.68339
bigstock_image_180909778,9:16,5,-10.309262,-14.7575982
bigstock_image_183873547,16:9,5,1.08321,-0.5283434
bigstock_image_183873547,1:1,5,1.075397,1.0435944
bigstock_image_183873547,3:4,5,1.030089,-0.06209920000000002
bigstock_image_183873547,4:3,5,1.096434,-0.2306458
bigstock_image_183873547,9:16,5,0.994684,0.9682048
bigstock_image_185033908,16:9,5,1.066163,-0.2082808
bigstock_image_185033908,1:1,5,1.064077,0.3060286
bigstock_image_185033908,3:4,5,1.00338,-2.5543898
bigstock_image_185033908,4:3,5,1.063936,0.14738880000000001
bigstock_image_185033908,9:16,3,-3.1557,-5.23054
bigstock_image_188018719,16:9,5,1.08455,1.0507824
bigstock_image_188018719,1:1,5,1.057965,0.517277
bigstock_image_188018719,3:4,5,1.015598,-0.15845240000000005
bigstock_image_188018719,4:3,5,1.08967,1.02374
bigstock_image_188018719,9:16,5,0.972229,-2.4806874
bigstock_image_194163277,16:9,5,-5.724023,-12.565059
bigstock_image_194163277,1:1,5,-1.445003,-2.339756
bigstock_image_194163277,3:4,1,-2.773876,-2.773876
bigstock_image_194163277,4:3,5,-1.429527,-1.4378730000000002
bigstock_image_194163277,9:16,5,-12.28427,-16.369668400000002
bigstock_image_207940879,16:9,1,-1.147776,-1.147776
bigstock_image_207940879,1:1,2,-1.192296,-1.5491895
bigstock_image_207940879,3:4,5,-6.861835,-11.4533986
bigstock_image_207940879,4:3,1,-1.293923,-1.293923
bigstock_image_207940879,9:16,5,-13.03573,-18.143309600000002
bigstock_image_215724892,16:9,5,-2.44235,-3.2282561999999997
bigstock_image_215724892,1:1,5,-5.137704,-5.5566594
bigstock_image_215724892,3:4,5,-9.414984,-10.458359999999999
bigstock_image_215724892,4:3,5,-1.872664,-2.4844194
bigstock_image_215724892,9:16,5,-15.138656,-17.1864228
bigstock_image_218991439,16:9,5,1.038102,1.0138932
bigstock_image_218991439,1:1,5,1.035898,0.5173468
bigstock_image_218991439,3:4,5,1.008353,-0.13630040000000002
bigstock_image_218991439,4:3,5,1.071697,1.0122908
bigstock_image_218991439,9:16,5,0.950206,-1.026844
bigstock_image_240115168,16:9,5,-3.878571,-5.3355544
bigstock_image_240115168,1:1,5,-7.204812,-9.741797199999999
bigstock_image_240115168,3:4,5,-11.195811,-14.4993968
bigstock_image_240115168,4:3,5,-1.151098,-1.7700825999999998
bigstock_image_240115168,9:16,5,-17.02463,-22.1677312
bigstock_image_246648940,16:9,5,-0.609841,-1.2563103999999998
bigstock_image_246648940,1:1,5,1.06891,-2.0331842
bigstock_image_246648940,3:4,5,-2.780785,-7.0576148000000005
bigstock_image_246648940,4:3,5,1.099048,1.094532
bigstock_image_246648940,9:16,5,-6.347927,-14.604586999999999
bigstock_image_247074340,16:9,5,1.020895,-1.0459666
bigstock_image_247074340,1:1,5,0.99691,-1.8836970000000002
bigstock_image_247074340,3:4,5,-0.560401,-4.232431
bigstock_image_247074340,4:3,5,1.031789,-0.8563718
bigstock_image_247074340,9:16,5,-3.33133,-7.5610162
bigstock_image_249573325,16:9,5,1.056045,1.0421092
bigstock_image_249573325,1:1,5,1.04012,-0.7601774000000001
bigstock_image_249573325,3:4,5,-2.254458,-4.2093884
bigstock_image_249573325,4:3,5,1.052973,1.0482772
bigstock_image_249573325,9:16,5,-5.635362,-6.714821000000001
bigstock_image_250648240,16:9,5,-0.941512,-2.5897122
bigstock_image_250648240,1:1,5,-5.268143,-8.4774008
bigstock_image_250648240,3:4,5,-9.565449,-13.1283482
bigstock_image_250648240,4:3,5,-2.012828,-5.1910932
bigstock_image_250648240,9:16,5,-15.197779,-19.4481828
bigstock_image_253330429,16:9,5,1.081574,1.0213724
bigstock_image_253330429,1:1,5,1.076196,1.053757
bigstock_image_253330429,3:4,5,1.0433,1.0238786000000002
bigstock_image_253330429,4:3,5,1.094327,1.0263596
bigstock_image_253330429,9:16,5,0.990792,0.2665354
bigstock_image_253780393,16:9,5,-0.845871,-10.3721794
bigstock_image_253780393,1:1,5,-5.168849,-7.7434356
bigstock_image_253780393,3:4,5,-9.463085,-12.1741106
bigstock_image_253780393,4:3,5,-1.913143,-3.373861
bigstock_image_253780393,9:16,5,-15.088341,-19.360765
bigstock_image_256189831,16:9,5,-0.792115,-1.6634259999999998
bigstock_image_256189831,1:1,5,-0.797114,-0.9557179999999998
bigstock_image_256189831,3:4,5,-0.817646,-2.0987831999999997
bigstock_image_256189831,4:3,5,-0.776689,-1.3428796
bigstock_image_256189831,9:16,5,-0.869963,-1.5510168
bigstock_image_25981355,16:9,5,-0.824823,-1.2792752
bigstock_image_25981355,1:1,5,-0.807293,-1.22428
bigstock_image_25981355,3:4,5,-0.855147,-1.2590346000000001
bigstock_image_25981355,4:3,5,-0.785507,-1.2528482
bigstock_image_25981355,9:16,5,-0.891163,-1.306765
bigstock_image_266651224,16:9,5,-1.441366,-1.4677294
bigstock_image_266651224,1:1,5,-0.825169,-3.16528
bigstock_image_266651224,3:4,5,-0.831539,-5.2414172
bigstock_image_266651224,4:3,5,-0.855055,-1.3028122
bigstock_image_266651224,9:16,5,-2.49184,-6.335306
bigstock_image_266939068,16:9,5,-1.453952,-1.5131868000000002
bigstock_image_266939068,1:1,5,-2.670976,-6.1002732
bigstock_image_266939068,3:4,5,-1.392697,-4.2304292000000006
bigstock_image_266939068,4:3,5,-1.480897,-3.810758800000001
bigstock_image_266939068,9:16,5,-2.502531,-6.862537599999999
bigstock_image_274055320,16:9,5,-2.469326,-2.9511803999999997
bigstock_image_274055320,1:1,5,-3.082845,-5.2372716
bigstock_image_274055320,3:4,5,-6.690142,-11.0913018
bigstock_image_274055320,4:3,5,-0.815313,-1.4699034
bigstock_image_274055320,9:16,5,-11.44824,-14.901741800000002
bigstock_image_2789802,16:9,5,-10.171195,-12.60078
bigstock_image_2789802,1:1,5,1.023011,-3.0531294000000004
bigstock_image_2789802,3:4,5,1.061843,-0.44040660000000004
bigstock_image_2789802,4:3,5,-4.082802,-7.0885506000000005
bigstock_image_2789802,9:16,5,1.036703,-0.6785062
bigstock_image_283085449,16:9,5,1.000979,0.5653246000000001
bigstock_image_283085449,1:1,5,0.985123,-0.6506491999999999
bigstock_image_283085449,3:4,5,0.923457,-0.9327208
bigstock_image_283085449,4:3,5,1.015405,-0.26309020000000005
bigstock_image_283085449,9:16,5,0.818135,-0.6836372000000001
bigstock_image_289580023,16:9,5,1.044977,1.0005874000000001
bigstock_image_289580023,1:1,5,1.035368,-0.012099600000000033
bigstock_image_289580023,3:4,5,1.00244,-2.2204614
bigstock_image_289580023,4:3,5,1.069735,0.5991094
bigstock_image_289580023,9:16,5,-0.441476,-5.049691
bigstock_image_290817367,16:9,5,-20.835513,-27.886609799999995
bigstock_image_290817367,1:1,5,-4.660876,-8.1162476
bigstock_image_290817367,3:4,5,1.074751,-1.0996020000000002
bigstock_image_290817367,4:3,5,-9.407472,-16.9894496
bigstock_image_290817367,9:16,5,1.062889,-0.03387920000000002
bigstock_image_291505912,16:9,5,-44.978679,-57.229346199999995
bigstock_image_291505912,1:1,1,-37.329489,-37.329489
bigstock_image_291505912,3:4,1,-24.534197,-24.534197
bigstock_image_291505912,4:3,5,-33.603775,-42.4777292
bigstock_image_291505912,9:16,1,-15.608719,-15.608719
bigstock_image_297686437,16:9,5,1.007863,0.9692638
bigstock_image_297686437,1:1,5,1.006325,0.9757528000000001
bigstock_image_297686437,3:4,5,0.976472,0.5916897999999999
bigstock_image_297686437,4:3,5,1.034343,0.9909663999999999
bigstock_image_297686437,9:16,5,0.884037,-1.392644
bigstock_image_307069546,16:9,5,-0.899471,-1.3417384
bigstock_image_307069546,1:1,5,1.038294,-0.32334
bigstock_image_307069546,3:4,5,-1.146153,-3.8435206
bigstock_image_307069546,4:3,5,1.079897,1.0640226
bigstock_image_307069546,9:16,5,-4.16867,-7.2498846
bigstock_image_308420872,16:9,5,-0.853116,-1.038314
bigstock_image_308420872,1:1,5,-4.270472,-6.1741342
bigstock_image_308420872,3:4,5,-8.281056,-10.906475
bigstock_image_308420872,4:3,5,-1.224273,-2.3701266
bigstock_image_308420872,9:16,5,-13.537636,-14.9178934
bigstock_image_312521860,16:9,5,1.065948,1.0512544
bigstock_image_312521860,1:1,5,-10.685022,-14.832309
bigstock_image_312521860,3:4,5,-15.762589,-18.5981014
bigstock_image_312521860,4:3,5,-6.151096,-8.326865399999999
bigstock_image_312521860,9:16,5,-21.324456,-28.792821600000003
bigstock_image_312692500,16:9,5,-1.474077,-3.4960594
bigstock_image_312692500,1:1,5,1.071711,1.0142
bigstock_image_312692500,3:4,5,1.10028,1.0272554
bigstock_image_312692500,4:3,5,0.959136,-0.9677468000000001
bigstock_image_312692500,9:16,5,1.049819,1.0028966000000001
bigstock_image_326554759,16:9,5,1.032333,0.9935796
bigstock_image_326554759,1:1,5,1.022185,1.0009359999999998
bigstock_image_326554759,3:4,5,1.00477,0.9809084
bigstock_image_326554759,4:3,5,1.044286,0.9973216
bigstock_image_326554759,9:16,5,0.965996,0.943393
bigstock_image_327086644,16:9,5,1.021374,0.9702672
bigstock_image_327086644,1:1,5,0.994242,0.9492168
bigstock_image_327086644,3:4,5,0.936589,0.8814147999999999
bigstock_image_327086644,4:3,5,1.031743,0.9835332000000001
bigstock_image_327086644,9:16,4,0.89852,0.47969725
bigstock_image_32897534,16:9,5,1.085011,-0.39247679999999996
bigstock_image_32897534,1:1,5,1.089002,0.6659818
bigstock_image_32897534,3:4,5,-0.35624,-3.7737276
bigstock_image_32897534,4:3,5,1.106658,1.1018098
bigstock_image_32897534,9:16,5,-3.140808,-6.8925714
bigstock_image_337444474,16:9,4,-31.278474,-36.3449635
bigstock_image_337444474,1:1,5,-9.549136,-12.005936
bigstock_image_337444474,3:4,1,-1.386685,-1.386685
bigstock_image_337444474,4:3,5,-17.118382,-22.6588496
bigstock_image_337444474,9:16,5,-1.378707,-2.1661677999999998
bigstock_image_337885774,16:9,5,1.04809,1.0114741999999999
bigstock_image_337885774,1:1,5,1.080971,0.45339039999999997
bigstock_image_337885774,3:4,5,1.012187,-0.24098799999999992
bigstock_image_337885774,4:3,5,1.099226,1.0317416
bigstock_image_337885774,9:16,5,0.974733,-1.6269299999999998
bigstock_image_338336269,16:9,5,1.040085,0.995392
bigstock_image_338336269,1:1,5,1.062742,-0.2511624
bigstock_image_338336269,3:4,5,-0.549802,-3.1709671999999998
bigstock_image_338336269,4:3,5,1.089441,1.0298602000000001
bigstock_image_338336269,9:16,5,-3.387274,-6.9042456
bigstock_image_340885888,16:9,5,-0.867258,-1.8346536
bigstock_image_340885888,1:1,5,-0.915882,-2.9569478
bigstock_image_340885888,3:4,5,-1.015193,-5.3019674000000006
bigstock_image_340885888,4:3,5,-0.895257,-1.5461328
bigstock_image_340885888,9:16,5,-1.605933,-5.119718199999999
bigstock_image_345651274,16:9,5,-7.279889,-17.134881999999998
bigstock_image_345651274,1:1,5,-1.447277,-1.4521366
bigstock_image_345651274,3:4,5,-1.488113,-2.2895578
bigstock_image_345651274,4:3,5,-1.423852,-1.4292054
bigstock_image_345651274,9:16,5,-2.898586,-3.3841431999999996
bigstock_image_356369255,16:9,5,-1.790677,-8.3468946
bigstock_image_356369255,1:1,5,0.21357,0.20334599999999997
bigstock_image_356369255,3:4,2,0.172536,-2.687521
bigstock_image_356369255,4:3,5,0.2274,0.1646932
bigstock_image_356369255,9:16,1,-8.985537,-8.985537
bigstock_image_356738510,16:9,5,-2.440161,-3.0168808
bigstock_image_356738510,1:1,5,-5.144919,-5.929632
bigstock_image_356738510,3:4,5,-9.448309,-11.3853206
